CNT,CLIENT_ADDVERY_SEGMENT_JUN,CLIENT_ADDVERY_SEGMENT_JUL,CLIENT_ADDVERY_SEGMENT_AUG,CLIENT_ADDVERY_SEGMENT_SEP,CLIENT_ADDVERY_SEGMENT_OCT,CLIENT_ADDVERY_SEGMENT_NOV
7,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,1-Active,1-Active
1,2-Onboarding,1-Active,2-Onboarding,3-Retention,3-Retention,1-Active
111948,2-Onboarding,3-Retention,3-Retention,3-Retention,3-Retention,3-Retention
539,3-Retention,3-Retention,1-Active,1-Active,3-Retention,3-Retention
1,4-Winback,4-Winback,3-Retention,3-Retention,1-Active,3-Retention
4,2-Onboarding,2-Onboarding,2-Onboarding,1-Active,3-Retention,1-Active
4,2-Onboarding,1-Active,3-Retention,1-Active,1-Active,1-Active
868,3-Retention,4-Winback,4-Winback,4-Winback,4-Winback,2-Onboarding
189,1-Active,3-Retention,1-Active,3-Retention,3-Retention,3-Retention
1,2-Onboarding,2-Onboarding,3-Retention,3-Retention,2-Onboarding,2-Onboarding
130749,3-Retention,3-Retention,3-Retention,3-Retention,3-Retention,4-Winback
4,4-Winback,1-Active,1-Active,2-Onboarding,1-Active,1-Active
74,3-Retention,3-Retention,1-Active,3-Retention,1-Active,1-Active
69,3-Retention,3-Retention,1-Active,1-Active,3-Retention,1-Active
3,1-Active,1-Active,1-Active,2-Onboarding,1-Active,3-Retention
1,3-Retention,3-Retention,4-Winback,3-Retention,3-Retention,1-Active
21384,3-Retention,3-Retention,3-Retention,1-Active,1-Active,1-Active
20516,3-Retention,3-Retention,3-Retention,3-Retention,3-Retention,1-Active
3,3-Retention,3-Retention,2-Onboarding,1-Active,1-Active,1-Active
15,4-Winback,4-Winback,2-Onboarding,1-Active,2-Onboarding,2-Onboarding
1161,1-Active,3-Retention,3-Retention,1-Active,1-Active,1-Active
2,4-Winback,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,1-Active
718,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,3-Retention,1-Active
1,3-Retention,3-Retention,3-Retention,4-Winback,1-Active,3-Retention
5,4-Winback,4-Winback,4-Winback,3-Retention,1-Active,2-Onboarding
19146,3-Retention,1-Active,1-Active,1-Active,1-Active,1-Active
616,4-Winback,4-Winback,4-Winback,4-Winback,4-Winback,3-Retention
47,1-Active,1-Active,2-Onboarding,1-Active,1-Active,1-Active
71,1-Active,3-Retention,1-Active,3-Retention,1-Active,1-Active
293,1-Active,1-Active,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention
6,3-Retention,4-Winback,1-Active,1-Active,2-Onboarding,2-Onboarding
18,4-Winback,4-Winback,1-Active,1-Active,3-Retention,3-Retention
10,1-Active,2-Onboarding,2-Onboarding,3-Retention,3-Retention,1-Active
31,2-Onboarding,2-Onboarding,1-Active,3-Retention,3-Retention,3-Retention
45,3-Retention,3-Retention,3-Retention,4-Winback,3-Retention,3-Retention
2,2-Onboarding,1-Active,1-Active,1-Active,3-Retention,2-Onboarding
2,3-Retention,3-Retention,4-Winback,4-Winback,1-Active,3-Retention
110,3-Retention,1-Active,1-Active,3-Retention,1-Active,1-Active
23,3-Retention,4-Winback,4-Winback,3-Retention,3-Retention,3-Retention
17,4-Winback,4-Winback,4-Winback,4-Winback,3-Retention,2-Onboarding
4,4-Winback,4-Winback,4-Winback,3-Retention,3-Retention,1-Active
116,3-Retention,3-Retention,3-Retention,1-Active,3-Retention,1-Active
21,2-Onboarding,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,2-Onboarding
2,2-Onboarding,1-Active,3-Retention,3-Retention,1-Active,1-Active
1927,3-Retention,1-Active,1-Active,1-Active,3-Retention,3-Retention
24,4-Winback,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
82,1-Active,3-Retention,3-Retention,1-Active,3-Retention,3-Retention
4,1-Active,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,3-Retention
32,2-Onboarding,1-Active,1-Active,3-Retention,3-Retention,3-Retention
3,1-Active,2-Onboarding,1-Active,2-Onboarding,3-Retention,3-Retention
1,1-Active,2-Onboarding,1-Active,3-Retention,3-Retention,3-Retention
584,2-Onboarding,3-Retention,3-Retention,1-Active,1-Active,1-Active
46,2-Onboarding,3-Retention,3-Retention,3-Retention,1-Active,3-Retention
1,3-Retention,3-Retention,3-Retention,2-Onboarding,1-Active,2-Onboarding
26,3-Retention,3-Retention,4-Winback,4-Winback,3-Retention,3-Retention
1,3-Retention,2-Onboarding,1-Active,1-Active,1-Active,3-Retention
1612,3-Retention,3-Retention,3-Retention,4-Winback,2-Onboarding,2-Onboarding
208,1-Active,1-Active,2-Onboarding,2-Onboarding,3-Retention,3-Retention
8,3-Retention,4-Winback,4-Winback,2-Onboarding,1-Active,1-Active
728,2-Onboarding,2-Onboarding,3-Retention,1-Active,1-Active,1-Active
15,3-Retention,3-Retention,3-Retention,4-Winback,1-Active,2-Onboarding
1321,3-Retention,3-Retention,3-Retention,3-Retention,1-Active,3-Retention
6,4-Winback,2-Onboarding,1-Active,1-Active,1-Active,3-Retention
1,3-Retention,4-Winback,2-Onboarding,2-Onboarding,1-Active,2-Onboarding
110,1-Active,1-Active,3-Retention,3-Retention,1-Active,3-Retention
759,3-Retention,1-Active,3-Retention,3-Retention,3-Retention,3-Retention
285,1-Active,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,3-Retention
